Ticket_ID,Sprint_ID,Title,Type,Priority,Status,State,Story_Points,Assignee,Assignee_Role,QA_Owner,Manager,Created_Date,Started_Date,Completed_Date,Cycle_Time_Days,Dev_Time_Hours,QA_Time_Hours,Estimated_Hours,Severity,Area_Module,Sprint_Start,Sprint_End,Team_Capacity_Hours,Tags,Comments,Carried_Over_From,Risk_Flag
SP1-TASK-011,SPR-001,Setup CI/CD pipeline for authentication module,Task,High,Done,Done,3,Dharmeswar,Developer,,Raj Kumar,2024-01-04 10:00:00,2024-01-06 09:00:00,2024-01-12 18:00:00,6,22,0,16,,Authentication & Onboarding,2024-01-02 00:00:00,2024-01-15 00:00:00,240,"devops, ci-cd",Jenkins configuration more complex. Docker issues with test environment.,,Medium
SP2-US-001,SPR-002,View and edit user profile,Story,High,Done,Done,5,Rahul,Developer,Vijayshree,Raj Kumar,2024-01-15 14:30:00,2024-01-17 09:15:00,2024-01-28 18:00:00,11,32,11,24,,Profile & Settings,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"profile, ui, api",Carried from SPR-001. Image upload library had bugs. Implemented custom solution.,SPR-001,High
SP2-US-002,SPR-002,Create basic profile page,Story,Medium,Done,Done,3,Dharmeswar,Developer,Chandna,Raj Kumar,2024-01-16 10:00:00,2024-01-18 11:00:00,2024-01-26 16:30:00,8,18,8,12,,Profile & Settings,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"profile, ui",Carried from SPR-001. Responsive design issues required multiple iterations.,SPR-001,Medium
SP2-US-003,SPR-002,Password reset using email link,Story,High,Done,Done,5,Rahul,Developer,Vijayshree,Raj Kumar,2024-01-17 09:30:00,2024-01-19 10:00:00,2024-01-29 17:00:00,10,28,10,20,,Authentication & Onboarding,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"auth, reset, email",Carried from SPR-001. Email service approved mid-sprint. Rushed completion.,SPR-001,High
SP2-US-004,SPR-002,Notification preferences (email toggle),Story,Medium,In Progress,In Progress,3,Dharmeswar,Developer,Chandna,Raj Kumar,2024-01-18 11:00:00,2024-01-25 09:00:00,,,12,0,12,,Profile & Settings,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"notifications, settings",Started late due to dependencies. Email service API changes required rework. Carrying over.,,High
SP2-US-005,SPR-002,User avatar upload and crop,Story,Medium,Done,Done,3,Rahul,Developer,Vijayshree,Raj Kumar,2024-01-19 10:00:00,2024-01-23 09:00:00,2024-01-28 15:30:00,5,16,6,12,,Profile & Settings,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"profile, upload, ui",Image cropping library integration complex. File size optimization added scope.,,Low
SP2-BUG-005,SPR-002,Profile photo upload fails on large file,Bug,Medium,Done,Done,2,Dharmeswar,Developer,Chandna,Raj Kumar,2024-01-22 15:30:00,2024-01-23 10:00:00,2024-01-27 18:00:00,4,11,4,8,Medium,Profile & Settings,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"bug, upload, file-size",Client-side and server-side validation both needed. Memory leak issue found during testing.,,Low
SP2-BUG-006,SPR-002,Profile page not responsive on mobile,Bug,High,Done,Done,3,Rahul,Developer,Vijayshree,Raj Kumar,2024-01-24 09:45:00,2024-01-25 14:00:00,2024-01-28 17:30:00,3,14,5,10,High,Profile & Settings,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"bug, responsive, mobile",Major CSS refactoring needed. Multiple devices showed different issues.,,Medium
SP2-BUG-007,SPR-002,Regression test incomplete from SPR-001,Task,High,Done,Done,2,Vijayshree,Tester,,Raj Kumar,2024-01-16 09:00:00,2024-01-17 10:00:00,2024-01-19 16:00:00,2,0,14,12,,Quality & Testing,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"qa, regression",Completed remaining 40% from SPR-001. Found 2 additional bugs in auth flow.,SPR-001,Low
SP2-BUG-008,SPR-002,Login session persists after logout,Bug,Critical,Done,Done,3,Rahul,Developer,Chandna,Raj Kumar,2024-01-26 16:30:00,2024-01-27 08:00:00,2024-01-28 19:00:00,2,15,4,12,Critical,Authentication & Onboarding,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"bug, security, critical",Security issue discovered in UAT. Required immediate hotfix. All hands on deck.,,High
SP2-TASK-007,SPR-002,Performance testing for profile module,Task,Medium,To Do,To Do,2,Chandna,Tester,,Raj Kumar,2024-01-25 09:00:00,,,,0,0,16,,Quality & Testing,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"qa, performance",Deprioritized due to critical bugs. Moving to SPR-003.,,Medium
SP2-TASK-008,SPR-002,Update API documentation for profile endpoints,Task,Medium,In Progress,In Progress,1,Rahul,Developer,,Raj Kumar,2024-01-26 11:00:00,2024-01-28 15:00:00,,,4,0,4,,Profile & Settings,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"docs, api",Started but incomplete. API changes during sprint required doc updates. Carrying over.,,Low
SP2-TASK-009,SPR-002,Sprint 2 retrospective,Task,Medium,Done,Done,1,Raj Kumar,Manager,,Raj Kumar,2024-01-29 14:00:00,2024-01-29 14:00:00,2024-01-29 16:00:00,0,3,0,2,,Profile & Settings,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"scrum, retrospective",Extended session. Team discussed carryovers and estimation accuracy. Action items created.,,Low
SP2-TASK-010,SPR-002,Setup staging environment for profile testing,Task,High,Done,Done,2,Dharmeswar,Developer,,Raj Kumar,2024-01-20 10:00:00,2024-01-22 09:00:00,2024-01-24 18:30:00,2,14,0,10,,Profile & Settings,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"devops, environment",Environment config issues. Database migration scripts had errors.,,Low
SP2-SPIKE-010,SPR-002,Spike: Evaluate avatar CDN options,Spike,Low,Done,Done,2,Rahul,Developer,,Raj Kumar,2024-01-20 10:00:00,2024-01-21 09:00:00,2024-01-22 17:00:00,1,10,0,8,,Profile & Settings,2024-01-16 00:00:00,2024-01-29 00:00:00,232,"spike, cdn, performance",Evaluated 3 options. POC with Cloudinary took extra time but proved valuable.,,Low
SP3-US-001,SPR-003,Add credit card as payment method,Story,High,Done,Done,8,Rahul,Developer,Chandna,Raj Kumar,2024-01-29 15:00:00,2024-01-31 09:00:00,2024-02-12 19:30:00,12,48,16,40,,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"payments, gateway",Stripe API documentation lacking. PCI compliance review found issues requiring rework.,,High
SP3-US-002,SPR-003,Notification preferences (email toggle),Story,Medium,Done,Done,3,Dharmeswar,Developer,Vijayshree,Raj Kumar,2024-01-30 10:00:00,2024-02-01 09:30:00,2024-02-10 16:00:00,9,22,9,12,,Profile & Settings,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"notifications, settings",Carried from SPR-002. Email service SDK upgrade required. Breaking changes handled.,SPR-002,Medium
SP3-US-003,SPR-003,View list of past invoices,Story,High,Done,Done,5,Rahul,Developer,Chandna,Raj Kumar,2024-02-01 11:00:00,2024-02-03 10:00:00,2024-02-11 18:30:00,8,28,10,24,,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"billing, invoices, ui",Complex data model. Performance issues with large datasets required optimization.,,Medium
SP3-US-004,SPR-003,Download invoice as PDF,Story,Medium,In Progress,In Progress,3,Dharmeswar,Developer,Vijayshree,Raj Kumar,2024-02-02 09:00:00,2024-02-08 11:00:00,,,15,0,12,,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"billing, pdf",Started late. PDF library compatibility issues. Multiple formatting problems. Carrying over.,,High
SP3-US-005,SPR-003,Payment history filters and search,Story,Medium,To Do,To Do,3,Rahul,Developer,Chandna,Raj Kumar,2024-02-03 10:00:00,,,,0,0,12,,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"billing, filters, search",Not started. Team focused on critical payment gateway issues. Moving to SPR-004.,,Medium
SP3-US-006,SPR-003,Automated payment retry for failed transactions,Story,Low,To Do,To Do,5,Dharmeswar,Developer,Vijayshree,Raj Kumar,2024-02-04 11:00:00,,,,0,0,20,,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"payments, automation",Deprioritized. Requires more analysis. Moving to backlog.,,Low
SP3-BUG-005,SPR-003,Double charge when retrying failed payment,Bug,Critical,Done,Done,5,Dharmeswar,Developer,Vijayshree,Raj Kumar,2024-02-06 16:20:00,2024-02-06 18:00:00,2024-02-09 22:30:00,3,24,8,16,Critical,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"bug, payments, critical",Production incident. Entire team mobilized. Idempotency fix plus audit trail implementation.,,High
SP3-BUG-006,SPR-003,Invoice total rounding issue,Bug,High,Done,Done,2,Rahul,Developer,Chandna,Raj Kumar,2024-02-07 10:30:00,2024-02-08 09:00:00,2024-02-10 17:30:00,2,12,5,8,High,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"bug, rounding",Affected multiple currencies. Required comprehensive testing across all payment scenarios.,,Medium
SP3-BUG-007,SPR-003,Payment gateway timeout on slow networks,Bug,Medium,Done,Done,3,Rahul,Developer,Vijayshree,Raj Kumar,2024-02-09 11:00:00,2024-02-09 15:00:00,2024-02-11 18:00:00,2,13,4,10,Medium,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"bug, performance, payments",Timeout values too aggressive. Implemented retry with backoff. Network testing challenging.,,Low
SP3-BUG-008,SPR-003,API documentation incomplete from SPR-002,Task,Low,Done,Done,1,Rahul,Developer,,Raj Kumar,2024-02-10 10:00:00,2024-02-11 14:00:00,2024-02-12 16:00:00,1,7,0,4,,Profile & Settings,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"docs, api",Completed carryover. Added examples and error codes for all profile endpoints.,SPR-002,Low
SP3-TASK-007,SPR-003,Configure payment gateway webhooks,Task,High,Done,Done,3,Dharmeswar,Developer,,Raj Kumar,2024-01-30 14:00:00,2024-02-01 09:00:00,2024-02-05 18:00:00,4,16,0,12,,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"payments, webhooks",Webhook security implementation more complex. Added signature verification and replay protection.,,Low
SP3-TASK-008,SPR-003,Prepare test data for payment flows,Task,Medium,Done,Done,2,Chandna,Tester,,Raj Kumar,2024-02-01 10:00:00,2024-02-03 09:00:00,2024-02-07 17:00:00,4,0,22,16,,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"qa, test-data",Creating realistic test scenarios took longer. Multiple edge cases discovered.,,Low
SP3-TASK-009,SPR-003,PCI compliance checklist review,Task,High,Done,Done,2,Raj Kumar,Manager,,Raj Kumar,2024-02-08 10:00:00,2024-02-08 10:00:00,2024-02-10 15:00:00,2,8,0,4,,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"compliance, security",Security team found gaps. Required additional documentation and code changes.,,Medium
SP3-TASK-010,SPR-003,Load testing for payment gateway,Task,High,In Progress,In Progress,3,Chandna,Tester,,Raj Kumar,2024-02-09 09:00:00,2024-02-11 10:00:00,,,0,10,12,,Quality & Testing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"qa, performance, load-testing",Started late. Test environment issues. Only completed baseline tests. Carrying over.,,High
SP3-TASK-011,SPR-003,Sprint 3 retrospective,Task,Medium,Done,Done,1,Raj Kumar,Manager,,Raj Kumar,2024-02-12 14:00:00,2024-02-12 14:00:00,2024-02-12 16:30:00,0,3,0,2,,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"scrum, retrospective",Difficult sprint. Team discussed production incident and estimation improvements.,,Low
SP3-SPIKE-010,SPR-003,Spike: Payment fraud detection requirements,Spike,Medium,Done,Done,3,Rahul,Developer,,Raj Kumar,2024-02-05 10:00:00,2024-02-06 09:00:00,2024-02-07 18:30:00,1,14,0,12,,Payments & Billing,2024-01-30 00:00:00,2024-02-12 00:00:00,240,"spike, security, fraud",Researched fraud detection patterns. Recommended Stripe Radar integration for future.,,Low
SP4-US-001,SPR-004,Download invoice as PDF,Story,Medium,Done,Done,3,Dharmeswar,Developer,Chandna,Raj Kumar,2024-02-12 15:00:00,2024-02-13 09:00:00,2024-02-22 19:30:00,9,26,9,16,,Payments & Billing,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"billing, pdf",Carried from SPR-003. PDF library replaced. Complex invoice layouts required custom templates.,SPR-003,Medium
SP4-US-002,SPR-004,Dashboard with key usage metrics,Story,High,Done,Done,8,Rahul,Developer,Vijayshree,Raj Kumar,2024-02-13 10:00:00,2024-02-14 09:30:00,2024-02-25 18:00:00,11,52,14,40,,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"dashboard, metrics",Chart.js learning curve. Real-time updates caused performance issues. Caching implemented.,,High
SP4-US-003,SPR-004,Payment history filters and search,Story,High,Done,Done,3,Dharmeswar,Developer,Chandna,Raj Kumar,2024-02-14 11:00:00,2024-02-16 10:00:00,2024-02-24 16:30:00,8,22,8,16,,Payments & Billing,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"billing, filters, search",Carried from SPR-003. Complex date range queries. Database indexing optimization needed.,SPR-003,Medium
SP4-US-004,SPR-004,Export report data to CSV,Story,Medium,In Progress,In Progress,3,Rahul,Developer,Vijayshree,Raj Kumar,2024-02-15 09:00:00,2024-02-20 10:00:00,,,18,0,12,,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"export, csv",Started late due to dashboard delays. Large dataset handling causing memory issues. Carrying over.,,High
SP4-US-005,SPR-004,User activity tracking and analytics,Story,Medium,In Progress,In Progress,5,Dharmeswar,Developer,Chandna,Raj Kumar,2024-02-16 10:00:00,2024-02-21 09:00:00,,,22,0,20,,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"analytics, tracking",Started late. Privacy compliance review required. Analytics library integration complex. Carrying over.,,High
SP4-US-006,SPR-004,Custom report builder,Story,Low,To Do,To Do,8,Rahul,Developer,Vijayshree,Raj Kumar,2024-02-17 11:00:00,,,,0,0,32,,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"reporting, dashboard",Not started. Team capacity consumed by carryovers and bugs. Moving to SPR-005.,,Medium
SP4-BUG-005,SPR-004,Load testing incomplete from SPR-003,Task,High,Done,Done,3,Chandna,Tester,,Raj Kumar,2024-02-13 09:00:00,2024-02-14 10:00:00,2024-02-17 18:00:00,3,0,20,16,,Quality & Testing,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"qa, performance, load-testing",Completed carryover. Found payment gateway bottleneck under load. Recommended fixes.,SPR-003,Low
SP4-BUG-006,SPR-004,Dashboard shows incorrect revenue totals,Bug,High,Done,Done,3,Rahul,Developer,Vijayshree,Raj Kumar,2024-02-19 14:30:00,2024-02-19 17:00:00,2024-02-22 19:00:00,3,16,6,12,High,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"bug, dashboard, aggregation",SQL aggregation missing refunds. Required rework of reporting queries. Extended testing.,,Medium
SP4-BUG-007,SPR-004,Dashboard not loading on Safari browser,Bug,Medium,Done,Done,2,Dharmeswar,Developer,Chandna,Raj Kumar,2024-02-20 10:15:00,2024-02-21 09:00:00,2024-02-23 17:30:00,2,11,4,8,Medium,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"bug, browser, compatibility",Chart.js compatibility issue with Safari. Upgraded library version and retested.,,Low
SP4-BUG-008,SPR-004,Memory leak in dashboard real-time updates,Bug,High,Done,Done,3,Rahul,Developer,Vijayshree,Raj Kumar,2024-02-22 11:00:00,2024-02-23 08:00:00,2024-02-25 20:00:00,2,18,5,12,High,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"bug, performance, memory",WebSocket connections not closing. Browser tab crashes after prolonged use. Critical fix.,,Medium
SP4-BUG-009,SPR-004,CSV export fails for large datasets,Bug,Medium,In Progress,In Progress,2,Dharmeswar,Developer,Chandna,Raj Kumar,2024-02-24 15:00:00,2024-02-25 10:00:00,,,8,0,8,Medium,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"bug, export, performance",Found late in sprint. Server timeout for datasets over 10k rows. Needs streaming solution. Carrying over.,,High
SP4-TASK-007,SPR-004,Dashboard UAT and feedback collection,Task,Medium,Done,Done,2,Vijayshree,Tester,,Raj Kumar,2024-02-21 09:00:00,2024-02-22 10:00:00,2024-02-24 17:00:00,2,0,16,12,,Quality & Testing,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"uat, qa",Collected feedback from 6 users. Identified 3 enhancement requests and 2 bugs.,,Low
SP4-TASK-008,SPR-004,Performance optimization for dashboard queries,Task,High,Done,Done,3,Rahul,Developer,,Raj Kumar,2024-02-16 10:00:00,2024-02-17 09:00:00,2024-02-20 18:30:00,3,18,0,12,,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"performance, optimization, database",Added database indexes and query optimization. Reduced dashboard load time by 65%.,,Low
SP4-TASK-009,SPR-004,Sprint 4 planning and capacity review,Task,Medium,Done,Done,1,Raj Kumar,Manager,,Raj Kumar,2024-02-09 10:00:00,2024-02-09 10:00:00,2024-02-09 15:00:00,0,5,0,4,,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"scrum, planning",One developer on leave. Multiple carryovers discussed. Adjusted expectations.,,Low
SP4-TASK-010,SPR-004,Sprint 4 retrospective,Task,Medium,Done,Done,1,Raj Kumar,Manager,,Raj Kumar,2024-02-26 14:00:00,2024-02-26 14:00:00,2024-02-26 16:30:00,0,3,0,2,,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"scrum, retrospective",Team discussed technical debt and carryover impact. Need better estimation and buffer time.,,Low
SP4-TASK-011,SPR-004,Setup monitoring for dashboard performance,Task,Medium,To Do,To Do,2,Dharmeswar,Developer,,Raj Kumar,2024-02-18 10:00:00,,,,0,0,8,,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"monitoring, devops",Not started. Team focused on functionality. Moving to SPR-005 for monitoring setup.,,Medium
SP4-SPIKE-010,SPR-004,Spike: Real-time analytics architecture,Spike,Medium,Done,Done,3,Rahul,Developer,,Raj Kumar,2024-02-15 10:00:00,2024-02-16 09:00:00,2024-02-19 18:00:00,3,16,0,12,,Analytics & Reporting,2024-02-13 00:00:00,2024-02-26 00:00:00,224,"spike, architecture, real-time",Researched WebSocket vs SSE. Memory leak discovered during POC led to architecture change.,,Low
SP5-US-001,SPR-005,Export report data to CSV,Story,High,Done,Done,3,Rahul,Developer,Chandna,Raj Kumar,2024-02-26 15:00:00,2024-02-27 09:00:00,2024-03-08 19:30:00,9,32,10,16,,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"export, csv",Carried from SPR-004. Implemented streaming solution. Large refactoring needed for memory efficiency.,SPR-004,High
SP5-US-002,SPR-005,User activity tracking and analytics,Story,High,Done,Done,5,Dharmeswar,Developer,Vijayshree,Raj Kumar,2024-02-27 10:00:00,2024-02-28 09:00:00,2024-03-10 17:00:00,10,38,14,24,,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"analytics, tracking",Carried from SPR-004. GDPR compliance required extensive changes. Privacy team review delayed completion.,SPR-004,High
SP5-US-003,SPR-005,Custom report builder interface,Story,Medium,In Progress,In Progress,8,Rahul,Developer,Chandna,Raj Kumar,2024-02-28 11:00:00,2024-03-04 09:00:00,,,42,0,32,,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"reporting, dashboard",Carried from SPR-004. Complex UI requirements. Drag-drop library integration challenging. Carrying over.,SPR-004,High
SP5-US-004,SPR-005,Advanced dashboard filters,Story,Medium,Done,Done,3,Dharmeswar,Developer,Vijayshree,Raj Kumar,2024-03-01 10:00:00,2024-03-03 09:00:00,2024-03-09 16:30:00,6,24,8,16,,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"filters, dashboard",Multi-select and nested filters. Query performance optimization needed multiple iterations.,,Medium
SP5-US-005,SPR-005,Scheduled report generation,Story,Low,To Do,To Do,5,Rahul,Developer,Chandna,Raj Kumar,2024-03-02 11:00:00,,,,0,0,20,,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"reporting, automation",Not started. Team capacity consumed by carryovers. Moving to SPR-006.,,Medium
SP5-US-006,SPR-005,Email digest for analytics reports,Story,Low,To Do,To Do,3,Dharmeswar,Developer,Vijayshree,Raj Kumar,2024-03-03 10:00:00,,,,0,0,12,,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"email, notifications, reporting",Deprioritized. Depends on scheduled report generation. Moving to backlog.,,Low
SP5-BUG-005,SPR-005,CSV export bug from SPR-004,Bug,Medium,Done,Done,2,Dharmeswar,Developer,Chandna,Raj Kumar,2024-02-27 09:00:00,2024-02-28 10:00:00,2024-03-02 17:00:00,2,14,5,10,Medium,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"bug, export",Carried from SPR-004. Timeout issues persist with very large datasets. Implemented chunking.,SPR-004,Low
SP5-BUG-006,SPR-005,Dashboard widgets overlapping on tablet,Bug,High,Done,Done,2,Rahul,Developer,Vijayshree,Raj Kumar,2024-03-04 14:00:00,2024-03-05 09:00:00,2024-03-07 18:00:00,2,13,5,10,High,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"bug, ui, responsive",Responsive grid system issues on iPad. CSS grid refactoring required.,,Medium
SP5-BUG-007,SPR-005,Analytics tracking not capturing all events,Bug,High,Done,Done,3,Dharmeswar,Developer,Chandna,Raj Kumar,2024-03-06 11:30:00,2024-03-06 15:00:00,2024-03-09 19:30:00,3,18,6,12,High,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"bug, tracking, data-loss",Event queue overflow on high traffic. Implemented buffering and retry mechanism.,,Medium
SP5-BUG-008,SPR-005,Report filters not persisting after page refresh,Bug,Medium,Done,Done,1,Rahul,Developer,Vijayshree,Raj Kumar,2024-03-08 10:00:00,2024-03-08 14:00:00,2024-03-10 12:00:00,2,7,3,6,Medium,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"bug, ui, state-management",State management issue. Implemented local storage solution with proper serialization.,,Low
SP5-TASK-006,SPR-005,Setup monitoring for dashboard (carryover),Task,High,Done,Done,2,Dharmeswar,Developer,,Raj Kumar,2024-02-27 10:00:00,2024-03-01 09:00:00,2024-03-03 17:00:00,2,12,0,8,,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"monitoring, devops",Carried from SPR-004. Grafana setup. Alert configuration took longer than expected.,SPR-004,Low
SP5-TASK-007,SPR-005,Analytics module documentation,Task,Medium,In Progress,In Progress,2,Rahul,Developer,,Raj Kumar,2024-03-05 10:00:00,2024-03-09 14:00:00,,,8,0,8,,Analytics & Reporting,2024-02-27 00:00:00,2024-03-11 00:00:00,248,"docs, documentation",Started late. Only 50% complete. Architecture diagrams and API docs remaining. Carrying over.,,Medium
